SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014
050,3,6,28,097,Mississippi,Montgomery County,10925,10925,10906,10755,10557,10550,10400,-19,-151,-198,-7,-150,34,114,126,155,145,63,144,163,120,122,-29,-30,-37,35,23,0,0,0,0,0,13,-130,-163,-33,-184,13,-130,-163,-33,-184,-3,9,2,-9,11,99,99,99,99,99,99,10.525829832,11.824324324,14.68707064,13.8424821,13.295785051,15.296546547,11.370635334,11.646778043,-2.769955219,-3.472222222,3.3164353058,2.1957040573,0,0,0,0,-12.00313928,-15.29654655,-3.126924717,-17.56563246,-12.00313928,-15.29654655,-3.126924717,-17.56563246
050,3,6,28,099,Mississippi,Neshoba County,29676,29673,29668,29705,29679,29461,29465,-5,37,-26,-218,4,108,427,440,415,421,64,314,328,333,343,44,113,112,82,78,1,0,0,0,0,-51,-78,-141,-283,-68,-50,-78,-141,-283,-68,1,2,3,-17,-6,386,386,389,393,393,393,14.383642396,14.818806413,14.03449442,14.289108373,10.57719839,11.046746598,11.261413595,11.641720124,3.8064440065,3.7720598141,2.7730808252,2.6473882497,0,0,0,0,-2.627456925,-4.748753873,-9.570510653,-2.3079795,-2.627456925,-4.748753873,-9.570510653,-2.3079795
050,3,6,28,101,Mississippi,Newton County,21720,21720,21679,21509,21625,21709,21832,-41,-170,116,84,123,72,312,298,250,264,98,235,231,273,302,-26,77,67,-23,-38,3,21,26,22,22,-17,-293,25,80,134,-14,-272,51,102,156,-1,25,-2,5,5,600,600,522,537,553,553,14.448457905,13.817406222,11.538284026,12.126501458,10.882652589,10.710808179,12.599806157,13.871982729,3.5658053163,3.1065980433,-1.06152213,-1.745481271,0.972492359,1.2055455093,1.0153689943,1.0105417882,-13.56858387,1.1591783744,3.6922508884,6.1551181645,-12.59609151,2.3647238837,4.7076198828,7.1656599527
050,3,6,28,103,Mississippi,Noxubee County,11545,11545,11507,11335,11175,11069,11115,-38,-172,-160,-106,46,43,142,154,156,151,54,113,108,105,134,-11,29,46,51,17,0,-1,-1,-1,-1,-27,-212,-207,-163,-21,-27,-213,-208,-164,-22,0,12,2,7,51,173,173,173,172,171,171,12.43323702,13.682807641,14.026254271,13.613415074,9.8940548113,9.5957352288,9.4407480669,12.08077894,2.5391822082,4.0870724123,4.5855062039,1.5326361342,-0.087558007,-0.0888494,-0.089911886,-0.090155067,-18.56229752,-18.39182586,-14.65563748,-1.893256401,-18.64985553,-18.48067526,-14.74554936,-1.983411468
050,3,6,28,105,Mississippi,Oktibbeha County,47671,47671,47689,47853,48956,49284,49414,18,164,1103,328,130,123,559,563,573,567,33,291,284,281,355,90,268,279,292,212,26,134,137,153,153,-89,-293,664,-84,-262,-63,-159,801,69,-109,-9,55,23,-33,27,4367,4369,4169,4641,4818,4814,11.701660003,11.631149996,11.665309446,11.489594521,6.0915618262,5.8672230888,5.7206840391,7.1936614724,5.6100981767,5.7639269076,5.9446254072,4.2959330483,2.8050490884,2.8303153632,3.1148208469,3.1003667754,-6.133428231,13.717732855,-1.71009772,-5.309124805,-3.328379142,16.548048219,1.404723127,-2.20875803
050,3,6,28,107,Mississippi,Panola County,34707,34699,34670,34517,34464,34439,34444,-29,-153,-53,-25,5,131,509,520,502,510,132,380,387,396,397,-1,129,133,106,113,1,9,6,6,6,-25,-281,-192,-158,-92,-24,-272,-186,-152,-86,-4,-10,0,21,-22,315,315,315,315,315,315,14.713746802,15.0766153,14.571208801,14.807717434,10.984722563,11.220481002,11.494419691,11.526791806,3.7290242387,3.8561342979,3.0767891093,3.2809256275,0.2601644818,0.1739609458,0.1741578741,0.1742084404,-8.122913264,-5.566750265,-4.586157352,-2.671196086,-7.862748782,-5.392789319,-4.411999478,-2.496987646
050,3,6,28,109,Mississippi,Pearl River County,55834,55747,55723,55469,55090,54957,55224,-24,-254,-379,-133,267,165,661,685,630,613,160,577,574,594,596,5,84,111,36,17,-1,0,0,2,2,-25,-336,-497,-158,214,-26,-336,-497,-156,216,-3,-2,7,-13,34,1124,1124,1124,1127,1227,1226,11.889344557,12.39157373,11.44965333,11.127145334,10.378444492,10.383596089,10.795387425,10.818562184,1.5109000648,2.0079776409,0.6542659046,0.3085831495,0,0,0.0363481058,0.0363038999,-6.043600259,-8.990674662,-2.871500359,3.8845172943,-6.043600259,-8.990674662,-2.835152253,3.9208211942
050,3,6,28,111,Mississippi,Perry County,12250,12250,12207,12232,12080,12118,12227,-43,25,-152,38,109,28,147,167,154,149,55,133,107,111,115,-27,14,60,43,34,0,0,0,0,0,-10,-42,-217,-5,71,-10,-42,-217,-5,71,-6,53,5,0,4,102,102,102,101,101,101,12.029952126,13.738071734,12.728324655,12.240706511,10.884242399,8.8022375782,9.1743119266,9.4475251592,1.1457097263,4.935834156,3.5540127283,2.7931813514,0,0,0,0,-3.437129179,-17.85126686,-0.413257294,5.8328198809,-3.437129179,-17.85126686,-0.413257294,5.8328198809
050,3,6,28,113,Mississippi,Pike County,40404,40407,40443,40420,40111,40015,40058,36,-23,-309,-96,43,149,600,588,560,558,83,503,488,481,511,66,97,100,79,47,1,13,10,10,10,-29,-109,-428,-202,0,-28,-96,-418,-192,10,-2,-24,9,17,-14,865,865,875,874,887,887,14.839914423,14.603072109,13.977984674,13.93728223,12.440794925,12.119556444,12.006090408,12.76335344,2.3991194984,2.4835156648,1.9718942665,1.17392879,0.3215314792,0.2483515665,0.2496068692,0.249772083,-2.695917787,-10.62944705,-5.042058757,0,-2.374386308,-10.38109548,-4.792451888,0.249772083
050,3,6,28,115,Mississippi,Pontotoc County,29957,29957,30023,29784,30345,30770,30950,66,-239,561,425,180,107,400,432,470,467,95,276,250,240,241,12,124,182,230,226,2,13,9,10,10,52,-402,364,213,-52,54,-389,373,223,-42,0,26,6,-28,-4,236,236,235,237,237,237,13.376360627,14.369106421,15.380839401,15.132858069,9.2296888324,8.3154551049,7.8540456516,7.8094620868,4.1466717943,6.0536513163,7.5267937495,7.3233959819,0.4347317204,0.2993563838,0.3272519022,0.32404407,-13.44324243,12.107302633,6.9704655158,-1.685029164,-13.00851071,12.406659016,7.297717418,-1.360985094
050,3,6,28,117,Mississippi,Prentiss County,25276,25276,25218,25307,25310,25426,25428,-58,89,3,116,2,85,353,354,312,325,52,314,235,257,207,33,39,119,55,118,1,1,1,1,1,-91,53,-122,87,-106,-90,54,-121,88,-105,-1,-4,5,-27,-11,864,864,901,809,876,874,13.973280554,13.987395539,12.298959319,12.781688756,12.429490351,9.2854179426,10.130873541,8.1409525308,1.5437902029,4.7019775965,2.1680857774,4.6407362253,0.0395843642,0.0395124168,0.0394197414,0.0393282731,2.0979713013,-4.820514847,3.4295175024,-4.168796948,2.1375556655,-4.78100243,3.4689372438,-4.129468675
050,3,6,28,119,Mississippi,Quitman County,8223,8223,8175,8030,7802,7824,7678,-48,-145,-228,22,-146,28,103,117,107,107,43,119,109,82,103,-15,-16,8,25,4,0,1,0,0,0,-34,-154,-240,6,-163,-34,-153,-240,6,-163,1,24,4,-9,13,164,164,162,164,164,164,12.712125887,14.780192016,13.695123512,13.804670365,14.686825054,13.769580596,10.495328299,13.288607922,-1.974699167,1.0106114199,3.1997952131,0.5160624436,0.1234186979,0,0,0,-19.00647948,-30.3183426,0.7679508511,-21.02954457,-18.88306078,-30.3183426,0.7679508511,-21.02954457
050,3,6,28,121,Mississippi,Rankin County,141617,142061,142532,144075,145604,147135,148070,471,1543,1529,1531,935,492,1991,1943,1864,1864,207,1054,1070,1079,1082,285,937,873,785,782,20,78,102,79,80,159,548,562,600,96,179,626,664,679,176,7,-20,-8,67,-23,6073,6080,5920,5876,6050,5447,13.89358948,13.41484885,12.73489354,12.62851239,7.3550192424,7.3874875293,7.3717543614,7.3304991447,6.5385702373,6.0273613206,5.3631391786,5.298013245,0.5442993367,0.7042277832,0.5397299301,0.5419962399,3.8240517503,3.8801570014,4.0992146588,0.6503954879,4.368351087,4.5843847845,4.6389445889,1.1923917278
050,3,6,28,123,Mississippi,Scott County,28264,28264,28315,28297,28248,28241,28461,51,-18,-49,-7,220,100,454,475,425,423,45,311,261,279,303,55,143,214,146,120,18,73,65,71,74,-16,-228,-329,-219,35,2,-155,-264,-148,109,-6,-6,1,-5,-9,229,229,228,228,228,228,16.039002332,16.800778141,15.047177327,14.920108638,10.987069879,9.2315854629,9.8780293508,10.687453705,5.0519324525,7.5691926784,5.1691479757,4.2326549328,2.5789585247,2.2990538509,2.5137637416,2.6101372086,-8.054829365,-11.63674949,-7.753721964,1.2345243554,-5.47587084,-9.337695641,-5.239958222,3.844661564
050,3,6,28,125,Mississippi,Sharkey County,4916,4916,4878,4875,4787,4684,4647,-38,-3,-88,-103,-37,17,71,89,66,65,3,68,58,42,45,14,3,31,24,20,0,1,0,0,0,-54,-4,-123,-114,-59,-54,-3,-123,-114,-59,2,-3,4,-13,2,108,108,108,108,108,108,14.55962268,18.422686814,13.93728223,13.932054442,13.944427356,12.005795901,8.8691796009,9.64526846,0.6151953245,6.4168909129,5.0681026291,4.2867859822,0.2050651082,0,0,0,-0.820260433,-25.46056717,-24.07348749,-12.64601865,-0.615195325,-25.46056717,-24.07348749,-12.64601865
050,3,6,28,127,Mississippi,Simpson County,27503,27502,27503,27346,27334,27477,27463,1,-157,-12,143,-14,84,362,352,315,329,43,301,295,259,291,41,61,57,56,38,2,6,4,5,5,-35,-221,-68,94,-49,-33,-215,-64,99,-44,-7,-3,-5,-12,-8,642,642,641,629,633,631,13.199876023,12.874908559,11.494043167,11.976701857,10.975587522,10.790051207,9.4506577147,10.59337459,2.2242885012,2.0848573519,2.0433854518,1.3833272661,0.2187824755,0.1463057791,0.1824451296,0.1820167455,-8.058487848,-2.487198244,3.429968437,-1.783764106,-7.839705373,-2.340892465,3.6124135666,-1.601747361
050,3,6,28,129,Mississippi,Smith County,16491,16489,16466,16515,16333,16216,16188,-23,49,-182,-117,-28,50,217,178,191,192,15,144,166,160,163,35,73,12,31,29,0,0,0,0,0,-54,-28,-197,-124,-49,-54,-28,-197,-124,-49,-4,4,3,-24,-8,107,107,109,107,107,107,13.159091598,10.837798344,11.736151648,11.850388841,8.7323004154,10.107160253,9.8313312237,10.06048636,4.4267911828,0.7306380906,1.9048204246,1.7899024812,0,0,0,0,-1.697947303,-11.99464199,-7.619281698,-3.024317985,-1.697947303,-11.99464199,-7.619281698,-3.024317985
050,3,6,28,131,Mississippi,Stone County,17786,17786,17896,17924,18049,17962,17875,110,28,125,-87,-87,59,207,210,199,189,25,170,207,162,161,34,37,3,37,28,0,1,0,0,0,74,-25,119,-132,-121,74,-24,119,-132,-121,2,15,3,8,6,1288,1288,1368,1438,1409,1415,11.557788945,11.675423234,11.052178501,10.547757904,9.4919039643,11.508631474,8.99725084,8.9851271033,2.0658849805,0.1667917605,2.054927661,1.5626308006,0.0558347292,0,0,0,-1.39586823,6.616073166,-7.331093277,-6.752797388,-1.340033501,6.616073166,-7.331093277,-6.752797388
