idx,STATE,COUNTYNAME,FIPS,LON,LAT
0,ME,Washington,23029,-67.6361,45.0363
1,GA,McIntosh,13191,-81.2646,31.5329
2,GA,Liberty,13179,-81.2103,31.7093
3,AS,Swains Island,60040,-171.0459,-11.0843
4,AS,Manu'a,60020,-169.506,-14.2219
5,AS,Western,60050,-170.7691,-14.3241
6,AS,Eastern,60010,-170.6596,-14.2763
7,PR,Anasco,72011,-67.1221,18.287
8,PR,Arroyo,72015,-66.0563,17.9982
9,PR,Barceloneta,72017,-66.5605,18.4454
10,PR,Barranquitas,72019,-66.3099,18.2017
11,PR,Bayamon,72021,-66.1684,18.3497
12,PR,Caguas,72025,-66.0508,18.2119
